Citizen response,Citizenresp,Citizen resp,Date & Time,Latitude,Longitude,Depth,empty,Magnitude,Region
,,,"2023-11-22 02:25:45
7 hr 34 min ago",19.342,-155.303,3,,2.2,"ISLAND OF HAWAII, HAWAII"
,,,"2023-11-22 02:25:30
7 hr 35 min ago",38.261,38.805,6,,1.3,EASTERN TURKEY
,,,"2023-11-22 02:19:24
7 hr 41 min ago",38.143,38.608,7,,0.8,EASTERN TURKEY
,,,"2023-11-22 02:19:21
7 hr 41 min ago",46.428,1.512,5,,2.0,FRANCE
,,,"2023-11-22 02:16:30
7 hr 44 min ago",-28.648,-67.597,129,,3.0,"LA RIOJA, ARGENTINA"
,,,"2023-11-22 02:15:53
7 hr 44 min ago",11.220,124.630,10,,3.6,"LEYTE, PHILIPPINES"
,,,"2023-11-22 02:11:39
7 hr 48 min ago",31.170,56.370,6,,3.8,CENTRAL IRAN
,,,"2023-11-22 02:11:01
7 hr 49 min ago",40.125,0.787,18,,2.0,SPAIN
,,,"2023-11-22 02:08:02
7 hr 52 min ago",18.046,-66.789,14,,2.3,PUERTO RICO
,,,"2023-11-22 02:06:33
7 hr 53 min ago",40.701,27.427,11,,2.0,WESTERN TURKEY
,,,"2023-11-22 02:03:30
7 hr 57 min ago",28.200,130.300,20,,3.5,"RYUKYU ISLANDS, JAPAN"
,,,"2023-11-22 02:02:35
7 hr 57 min ago",35.519,-3.623,30,,2.2,STRAIT OF GIBRALTAR
,,,"2023-11-22 02:02:29
7 hr 58 min ago",39.206,41.752,7,,0.9,EASTERN TURKEY
,,,"2023-11-22 01:58:44
8 hr 01 min ago",31.577,-104.540,3,,2.1,WESTERN TEXAS
